directory_name,io_time_Commit,io_time_MPI-IO,io_time_POSIX,io_time_Session,match_mpi_calls_Commit,match_mpi_calls_MPI-IO,match_mpi_calls_POSIX,match_mpi_calls_Session,mpi_edges_Commit,mpi_edges_MPI-IO,mpi_edges_POSIX,mpi_edges_Session,build_happens-before_graph_Commit,build_happens-before_graph_MPI-IO,build_happens-before_graph_POSIX,build_happens-before_graph_Session,nodes_Commit,nodes_MPI-IO,nodes_POSIX,nodes_Session,run_the_algorithm_Commit,run_the_algorithm_MPI-IO,run_the_algorithm_POSIX,run_the_algorithm_Session,verification_time_Commit,verification_time_MPI-IO,verification_time_POSIX,verification_time_Session,total_semantic_violation_Commit,total_semantic_violation_MPI-IO,total_semantic_violation_POSIX,total_semantic_violation_Session,total_conflict_pairs
2Gio-169190,39.017,39.166,39.162,39.008,14.055,14.009,14.050,14.028,280,280,280,280,55.259,55.137,55.651,55.027,8389568,8389568,8389568,8389568,35.739,35.817,35.951,35.763,1,2,0,3,12,13,6,12,8390619
bigio-159702,0.048,0.046,0.052,0.050,0.064,0.063,0.064,0.063,1100,1100,1100,1100,0.215,0.214,0.213,0.214,14630,14630,14630,14630,0.055,0.055,0.057,0.053,0,0,0,0,0,0,0,0,16388
cache-160439,20.200,20.186,20.236,20.182,1163.236,1163.032,1164.969,1162.680,8239160,8239160,8239160,8239160,140.502,138.396,139.953,140.368,16600810,16600810,16600810,16600810,90.807,91.164,91.522,91.852,0,0,0,0,0,0,0,0,0
filters_parallel-168586,13.001,13.035,13.001,13.052,15.804,15.913,15.812,15.722,265120,265120,265120,265120,50.222,50.302,50.129,50.163,2944263,2944263,2944263,2944263,15.187,15.242,15.136,15.112,18,48,13,38,117986,133397,0,117986,19977525
init_term-167220,0.019,0.013,0.017,0.012,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0
mpi-159541,0.019,0.020,0.025,0.023,0.004,0.004,0.004,0.004,60,60,60,60,0.013,0.013,0.013,0.013,1482,1482,1482,1482,0.005,0.005,0.005,0.005,0,0,0,0,0,0,0,0,802
pflush2-173065,0.024,0.018,0.016,0.022,0.005,0.005,0.005,0.005,47,47,47,47,0.009,0.009,0.009,0.009,612,612,612,612,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
pmulti_dset-167357,376.715,381.523,381.058,380.128,13.061,13.165,13.185,13.130,119569,119569,119569,119569,55.404,55.942,55.944,55.918,1750025,1750025,1750025,1750025,8.520,8.655,8.621,8.605,3885,5338,2608,5523,71604,71604,0,71604,780087714
pread-166808,0.022,0.019,0.024,0.022,0.007,0.007,0.007,0.007,142,142,142,142,0.015,0.015,0.015,0.015,1323,1323,1323,1323,0.005,0.004,0.005,0.004,0,0,0,0,0,0,0,0,118
prestart-167083,0.019,0.015,0.018,0.018,0.001,0.001,0.001,0.001,12,12,12,12,0.002,0.002,0.002,0.002,150,150,150,150,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
pshutdown-166945,0.015,0.014,0.019,0.018,0.001,0.001,0.001,0.001,8,8,8,8,0.002,0.002,0.001,0.001,104,104,104,104,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
select_io_dset-167937,0.229,0.225,0.233,0.232,0.226,0.225,0.225,0.226,2521,2521,2521,2521,0.525,0.522,0.522,0.525,37399,37399,37399,37399,0.149,0.149,0.149,0.149,2,4,0,4,21876,21876,2351,21876,50262
shapesame-168084,3.975,3.972,3.985,3.972,0.293,0.294,0.293,0.293,1682,1682,1682,1682,1.427,1.428,1.431,1.433,183465,183465,183465,183465,0.690,0.688,0.685,0.679,438,586,9,740,263603,263603,0,263603,4720306
vfd-172766,0.250,0.245,0.249,0.250,0.174,0.173,0.174,0.174,2404,2404,2404,2404,0.614,0.612,0.615,0.613,50868,50868,50868,50868,0.200,0.196,0.196,0.202,3,4,0,5,24024,24024,0,24024,187692
testphdf5-160132,6.704,6.709,6.917,6.726,1.711,1.717,1.719,1.711,14363,14363,14363,14363,4.630,4.633,4.624,4.618,384250,384250,384250,384250,1.602,1.601,1.604,1.591,375,478,15,555,83294,121151,478,83358,8421158
