directory_name,io_time_Commit,io_time_MPI-IO,io_time_POSIX,io_time_Session,match_mpi_calls_Commit,match_mpi_calls_MPI-IO,match_mpi_calls_POSIX,match_mpi_calls_Session,mpi_edges_Commit,mpi_edges_MPI-IO,mpi_edges_POSIX,mpi_edges_Session,build_happens-before_graph_Commit,build_happens-before_graph_MPI-IO,build_happens-before_graph_POSIX,build_happens-before_graph_Session,nodes_Commit,nodes_MPI-IO,nodes_POSIX,nodes_Session,run_the_algorithm_Commit,run_the_algorithm_MPI-IO,run_the_algorithm_POSIX,run_the_algorithm_Session,verification_time_Commit,verification_time_MPI-IO,verification_time_POSIX,verification_time_Session,total_semantic_violation_Commit,total_semantic_violation_MPI-IO,total_semantic_violation_POSIX,total_semantic_violation_Session,total_conflict_pairs
add_var-134481,0.007,0.009,0.018,0.010,0.003,0.003,0.003,0.003,64,64,64,64,0.006,0.006,0.006,0.006,547,547,547,547,0.002,0.002,0.002,0.002,0,0,0,0,4,4,0,4,4
alignment_test-132124,0.011,0.011,0.020,0.009,0.005,0.005,0.005,0.005,127,127,127,127,0.012,0.013,0.012,0.012,1195,1195,1195,1195,0.004,0.004,0.004,0.004,0,0,0,0,156,156,0,156,259
attrf-137651,0.009,0.007,0.020,0.007,0.000,0.001,0.000,0.000,6,6,6,6,0.001,0.001,0.001,0.001,60,60,60,60,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0
buftype_free-134609,0.006,0.009,0.016,0.009,0.001,0.001,0.001,0.001,17,17,17,17,0.002,0.002,0.002,0.002,159,159,159,159,0.001,0.001,0.001,0.001,0,0,0,0,12,12,0,12,12
buftype_freef-137786,0.009,0.007,0.022,0.005,0.001,0.001,0.001,0.001,15,15,15,15,0.002,0.002,0.001,0.002,143,143,143,143,0.001,0.001,0.001,0.001,0,0,0,0,12,12,0,12,12
check_striping-134341,0.006,0.009,0.016,0.008,0.001,0.001,0.001,0.001,25,25,25,25,0.002,0.002,0.002,0.002,236,236,236,236,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
check_type-134878,0.007,0.009,0.020,0.010,0.002,0.002,0.002,0.002,23,23,23,23,0.002,0.002,0.002,0.002,214,214,214,214,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
collective_error-131859,0.010,0.012,0.020,0.009,0.006,0.006,0.006,0.006,184,184,184,184,0.014,0.014,0.014,0.014,1316,1316,1316,1316,,,,,,,,,,,,,
erange_fill-137382,0.062,0.060,0.096,0.063,0.096,0.096,0.097,0.097,2268,2268,2268,2268,0.232,0.232,0.231,0.231,22042,22042,22042,22042,0.079,0.081,0.079,0.079,0,0,0,0,0,0,0,0,51590
error_precedence-136444,0.034,0.032,0.045,0.031,0.080,0.080,0.080,0.081,2210,2210,2210,2210,0.204,0.204,0.203,0.203,17740,17740,17740,17740,0.063,0.062,0.061,0.061,0,0,0,0,0,0,0,0,0
flexible-132261,0.008,0.008,0.016,0.009,0.002,0.002,0.002,0.002,53,53,53,53,0.005,0.005,0.005,0.005,476,476,476,476,0.002,0.002,0.002,0.002,0,0,0,0,72,72,0,72,174
flexible2-132391,0.008,0.008,0.017,0.008,0.001,0.001,0.001,0.001,16,16,16,16,0.002,0.002,0.001,0.002,138,138,138,138,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
flexible_api-138186,0.008,0.008,0.018,0.010,0.002,0.002,0.002,0.002,46,46,46,46,0.004,0.004,0.004,0.004,378,378,378,378,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
flexible_var-136707,0.009,0.007,0.017,0.008,0.002,0.002,0.002,0.002,96,96,96,96,0.004,0.004,0.004,0.004,460,460,460,460,,,,,,,,,,,,,
flexible_varm-132520,0.007,0.008,0.014,0.006,0.001,0.001,0.001,0.001,16,16,16,16,0.002,0.002,0.001,0.002,138,138,138,138,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
inq_num_vars-133045,0.009,0.008,0.020,0.009,0.002,0.002,0.002,0.002,34,34,34,34,0.003,0.003,0.003,0.003,332,332,332,332,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
inq_num_varsf-138316,0.008,0.007,0.019,0.010,0.001,0.001,0.001,0.001,11,11,11,11,0.001,0.001,0.001,0.001,108,108,108,108,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
inq_recsize-133560,0.008,0.009,0.015,0.007,0.001,0.001,0.001,0.001,22,22,22,22,0.002,0.002,0.002,0.002,206,206,206,206,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
inq_recsizef-138447,0.006,0.005,0.019,0.009,0.000,0.000,0.000,0.000,7,7,7,7,0.001,0.001,0.001,0.001,66,66,66,66,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0
iput_all_kinds-139161,0.039,0.040,0.075,0.039,0.084,0.083,0.083,0.083,2261,2261,2261,2261,0.225,0.226,0.225,0.226,21243,21243,21243,21243,0.074,0.073,0.073,0.073,0,1,0,1,10848,10848,0,10848,12148
ivarn-134213,0.008,0.014,0.018,0.008,0.001,0.001,0.001,0.001,25,25,25,25,0.002,0.002,0.002,0.002,220,220,220,220,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
large_var_cdf5-135660,0.006,0.009,0.019,0.007,0.000,0.000,0.000,0.000,8,8,8,8,0.001,0.001,0.001,0.001,76,76,76,76,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0
last_large_var-134740,0.007,0.010,0.017,0.009,0.003,0.004,0.003,0.004,66,66,66,66,0.006,0.006,0.006,0.007,688,688,688,688,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
mix_collectives-135532,0.006,0.009,0.008,0.008,0.001,0.001,0.001,0.001,23,23,23,23,0.002,0.002,0.002,0.002,217,217,217,217,0.001,0.001,0.001,0.001,0,0,0,0,6,6,0,6,24
modes-133301,0.008,0.009,0.017,0.008,0.002,0.002,0.002,0.002,37,37,37,37,0.003,0.003,0.003,0.003,324,324,324,324,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
ncmpi_vars_null_stride-131578,0.007,0.008,0.019,0.009,0.003,0.003,0.003,0.003,79,79,79,79,0.007,0.007,0.007,0.007,662,662,662,662,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
noclobber-132779,0.008,0.009,0.018,0.006,0.001,0.001,0.001,0.001,30,30,30,30,0.003,0.003,0.003,0.003,276,276,276,276,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
nonblocking-132650,0.006,0.009,0.017,0.006,0.001,0.001,0.001,0.001,15,15,15,15,0.002,0.001,0.001,0.002,144,144,144,144,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,3
null_args-135268,0.040,0.042,0.055,0.042,0.116,0.116,0.117,0.117,3237,3237,3237,3237,0.305,0.305,0.304,0.304,26375,26375,26375,26375,0.096,0.096,0.098,0.096,0,0,0,0,7777,7777,322,7777,12864
one_record-133431,0.008,0.008,0.019,0.006,0.001,0.001,0.001,0.001,17,17,17,17,0.002,0.002,0.002,0.002,156,156,156,156,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
put_all_kinds-138842,0.042,0.042,0.077,0.041,0.086,0.087,0.087,0.086,2382,2382,2382,2382,0.239,0.239,0.240,0.239,22512,22512,22512,22512,0.079,0.080,0.079,0.080,0,0,0,0,14364,14364,0,14364,14364
put_parameter-137918,0.008,0.008,0.020,0.008,0.000,0.000,0.000,0.000,6,6,6,6,0.001,0.001,0.001,0.001,58,58,58,58,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0
record-132910,0.009,0.007,0.018,0.008,0.002,0.002,0.002,0.002,145,145,145,145,0.001,0.001,0.001,0.001,224,224,224,224,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
redef1-139032,0.008,0.009,0.022,0.006,0.002,0.002,0.002,0.002,49,49,49,49,0.005,0.005,0.004,0.005,452,452,452,452,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
scalar-135134,0.010,0.011,0.024,0.011,0.016,0.016,0.016,0.016,439,439,439,439,0.040,0.039,0.040,0.040,3632,3632,3632,3632,0.011,0.011,0.011,0.012,0,0,0,0,0,0,0,0,0
test_erange-135006,0.007,0.010,0.023,0.011,0.003,0.003,0.003,0.003,74,74,74,74,0.007,0.007,0.007,0.007,714,714,714,714,0.002,0.002,0.002,0.002,0,0,0,0,736,736,82,736,1950
test_fillvalue-136316,0.009,0.006,0.018,0.007,0.001,0.001,0.001,0.001,23,23,23,23,0.002,0.002,0.002,0.002,214,214,214,214,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
test_get_varn-136842,0.007,0.007,0.020,0.007,0.001,0.001,0.001,0.001,17,17,17,17,0.002,0.002,0.002,0.002,151,151,151,151,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,2
test_vard-133688,0.011,0.010,0.017,0.010,0.005,0.005,0.004,0.005,130,130,130,130,0.011,0.011,0.011,0.011,1045,1045,1045,1045,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,574
test_vard_multiple-133953,0.007,0.007,0.016,0.006,0.001,0.002,0.001,0.001,34,34,34,34,0.003,0.003,0.003,0.003,282,282,282,282,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
test_vard_rec-133819,0.007,0.007,0.019,0.007,0.001,0.001,0.001,0.001,18,18,18,18,0.002,0.002,0.002,0.002,172,172,172,172,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,12
test_vardf-138058,0.006,0.010,0.016,0.008,0.002,0.002,0.002,0.002,48,48,48,48,0.004,0.005,0.004,0.004,433,433,433,433,0.002,0.002,0.002,0.001,0,0,0,0,18,18,0,18,96
test_vardf90-138575,0.008,0.009,0.020,0.008,0.002,0.002,0.002,0.002,56,56,56,56,0.005,0.005,0.005,0.005,513,513,513,513,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,96
test_varm-131988,0.009,0.010,0.020,0.009,0.005,0.004,0.004,0.005,118,118,118,118,0.010,0.010,0.010,0.010,980,980,980,980,,,,,,,,,,,,,
def_var_fill-136187,0.010,0.005,0.017,0.008,0.003,0.003,0.003,0.003,58,58,58,58,0.005,0.005,0.005,0.005,545,545,545,545,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,108
del_attr-136982,0.014,0.012,0.022,0.012,0.012,0.012,0.011,0.011,278,278,278,278,0.027,0.027,0.027,0.027,2822,2822,2822,2822,0.009,0.008,0.008,0.008,0,0,0,0,0,0,0,0,0
dimsizes-135404,0.005,0.007,0.019,0.005,0.002,0.002,0.002,0.002,32,32,32,32,0.003,0.003,0.003,0.003,322,322,322,322,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
free_comm-136576,0.009,0.009,0.018,0.010,0.002,0.002,0.002,0.002,54,54,54,54,0.005,0.005,0.005,0.005,462,462,462,462,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
info-135918,0.006,0.008,0.017,0.007,0.001,0.001,0.001,0.001,20,20,20,20,0.002,0.002,0.002,0.002,190,190,190,190,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
max_var_dims-135788,0.006,0.005,0.017,0.007,0.000,0.000,0.000,0.000,7,7,7,7,0.001,0.001,0.001,0.001,68,68,68,68,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0
redefine-137111,0.023,0.022,0.035,0.022,0.019,0.020,0.019,0.019,511,511,511,511,0.054,0.054,0.055,0.054,4855,4855,4855,4855,0.015,0.015,0.015,0.015,0,0,0,0,1043,1043,0,1043,12878
symlink-137251,0.008,0.007,0.019,0.008,0.001,0.001,0.001,0.001,12,12,12,12,0.001,0.001,0.001,0.001,110,110,110,110,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
vars_fill-136052,0.015,0.015,0.027,0.014,0.018,0.018,0.018,0.018,461,461,461,461,0.041,0.042,0.042,0.041,3888,3888,3888,3888,0.012,0.012,0.012,0.013,0,0,0,0,0,0,0,0,0
version-139366,0.006,0.009,0.016,0.006,0.000,0.000,0.000,0.000,1,1,1,1,0.000,0.000,0.000,0.000,8,8,8,8,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0
varn_contig-134082,0.007,0.008,0.019,0.008,0.001,0.001,0.001,0.001,12,12,12,12,0.001,0.001,0.001,0.001,106,106,106,106,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
varn_int-133173,0.008,0.008,0.015,0.006,0.001,0.001,0.001,0.001,23,23,23,23,0.002,0.002,0.002,0.002,194,194,194,194,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
varn_intf-137521,0.008,0.008,0.018,0.006,0.001,0.001,0.001,0.001,10,10,10,10,0.001,0.001,0.001,0.001,90,90,90,90,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
varn_real-138706,0.008,0.007,0.018,0.008,0.001,0.001,0.001,0.001,29,29,29,29,0.003,0.003,0.003,0.003,265,265,265,265,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,12
vectors-131717,0.008,0.008,0.013,0.008,0.001,0.001,0.001,0.001,30,30,30,30,0.001,0.001,0.001,0.001,141,141,141,141,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,3
